StudentID,Age,Gender,Program,Year,CGPA,AttendancePercent,Scholarship,DistanceKM,ParentsEducation,FamilyIncome,PlacementStatus,Internship,ExtraCurricularScore,SatisfactionScore,EngagementScore,FeesPendingMonths,ModeOfStudy,CounselingSessions,MentorAssigned,PreviousInstitution,Churn
S000021,20,Female,ECE,1,6.38,68.0,No,1.7,Graduate,2-5L,Not Placed,No,3.6,6.0,51,1,Offline,0,Yes,Public,0
S000022,19,Male,CSE,2,7.61,89.7,No,5.2,Professional,10-20L,Placed,Yes,9.5,8.5,61,1,Offline,0,No,Private,0
S000023,16,Male,Civil,1,6.28,78.4,No,27.1,Postgraduate,2-5L,Not Placed,No,2.5,5.4,54,0,Offline,2,Yes,Public,0
S000024,18,Male,ME,3,7.44,91.5,No,5.5,High School,<2L,Not Placed,No,7.6,5.3,74,0,Offline,0,Yes,Public,0
S000025,19,Male,Civil,4,8.02,82.2,No,10.8,Postgraduate,2-5L,Not Placed,No,2.1,8.9,72,0,Offline,0,Yes,Public,0
S000026,17,Male,CE,2,7.1,89.6,No,3.5,No formal,<2L,Not Placed,Yes,4.5,4.3,63,0,Offline,1,No,Private,1
S000027,19,Female,CSE,3,7.12,80.2,No,11.2,High School,5-10L,Not Placed,No,6.4,5.5,71,0,Hybrid,0,Yes,Public,0
S000028,20,Male,AEIE,2,6.63,69.2,Yes,10.2,Graduate,5-10L,Not Placed,Yes,7.5,10.0,76,1,Offline,0,Yes,Private,0
S000029,17,Male,EEE,2,7.6,91.9,Yes,7.6,Postgraduate,<2L,Not Placed,Yes,7.3,6.8,88,1,Offline,0,No,Public,0
S000030,19,Female,CE,3,6.93,76.9,No,14.4,High School,2-5L,Not Placed,Yes,1.8,5.4,60,0,Hybrid,0,No,Public,0
S000031,20,Male,AEIE,4,8.6,74.4,No,23.1,Professional,<2L,Not Placed,No,6.8,7.8,78,1,Offline,2,Yes,Private,0
S000032,20,Female,Civil,2,7.99,71.6,No,11.3,High School,2-5L,Not Placed,No,5.0,4.2,81,0,Online,1,No,Private,1
S000033,18,Female,EEE,1,6.35,74.5,No,26.4,High School,2-5L,Not Placed,No,5.6,10.0,50,0,Online,0,Yes,Private,0
S000034,24,Male,CE,1,7.14,83.4,No,14.5,High School,2-5L,Not Placed,No,5.4,6.6,74,2,Offline,1,Yes,Private,0
S000035,19,Male,IT,1,7.62,79.2,No,4.1,High School,<2L,Not Placed,No,3.7,7.5,72,0,Offline,2,Yes,Junior College,0
S000036,21,Male,ME,1,6.99,61.8,No,5.7,Graduate,2-5L,Placed,No,7.0,6.0,51,0,Hybrid,0,Yes,Public,0
S000037,20,Male,IT,3,7.18,90.9,No,4.1,High School,5-10L,Not Placed,No,4.3,1.1,61,0,Offline,1,No,Private,0
S000038,20,Female,Civil,3,7.23,80.3,No,15.2,No formal,<2L,Not Placed,Yes,3.0,4.8,74,0,Offline,2,Yes,Private,0
S000039,20,Male,AEIE,3,7.05,83.3,No,16.7,Postgraduate,2-5L,Not Placed,No,4.8,6.6,59,1,Hybrid,0,No,Private,1
S000040,21,Male,ME,4,7.18,93.5,Yes,11.1,Graduate,2-5L,Placed,No,1.7,7.0,69,0,Offline,0,No,Public,0
S000041,20,Female,ECE,3,5.94,71.0,No,1.1,High School,2-5L,Not Placed,No,4.8,8.6,56,0,Hybrid,0,Yes,Private,1
S000042,22,Female,ME,2,6.37,90.5,No,28.8,Professional,5-10L,Not Placed,Yes,4.8,7.6,44,0,Offline,1,No,Public,1
S000043,19,Female,ECE,2,8.57,89.9,No,2.1,Postgraduate,5-10L,Not Placed,Yes,8.3,7.7,79,2,Online,0,Yes,Public,0
S000044,22,Other,ECE,3,6.44,90.5,No,19.3,Postgraduate,2-5L,Not Placed,Yes,5.3,4.6,69,0,Offline,1,No,Public,0
S000045,22,Male,ECE,3,7.46,90.1,No,6.0,Graduate,>20L,Placed,Yes,6.9,6.5,66,0,Offline,0,Yes,Public,0
S000046,19,Female,CSE,1,5.92,65.8,No,11.3,Graduate,<2L,Not Placed,No,2.8,6.1,51,2,Online,0,No,Public,0
S000047,21,Male,ECE,1,8.3,70.8,No,7.0,Postgraduate,5-10L,Not Placed,Yes,10.0,7.2,48,0,Offline,2,Yes,Private,1
S000048,20,Female,IT,1,6.71,80.8,No,10.9,Graduate,2-5L,Not Placed,No,6.2,4.2,55,1,Offline,0,Yes,Public,0
S000049,14,Male,ECE,3,6.6,85.4,No,28.2,Graduate,2-5L,Not Placed,Yes,4.9,6.4,49,1,Online,0,No,Boarding,0
S000050,18,Female,ECE,1,7.97,66.8,No,12.2,Graduate,<2L,Not Placed,No,6.4,6.4,68,0,Online,0,No,Public,0
S000051,20,Male,CE,1,7.04,82.7,No,14.8,Postgraduate,10-20L,Not Placed,No,5.0,9.4,58,1,Offline,0,No,Public,0
S000052,22,Male,AEIE,2,5.99,58.0,No,14.5,High School,<2L,Not Placed,No,7.7,6.2,48,1,Online,0,Yes,Other,1
S000053,19,Male,Civil,4,7.73,85.0,No,25.2,Graduate,<2L,Placed,Yes,5.2,5.1,62,1,Hybrid,1,Yes,Public,0
S000054,20,Female,CE,2,7.12,65.7,Yes,7.9,Postgraduate,2-5L,Not Placed,Yes,6.7,6.3,57,0,Online,0,Yes,Junior College,0
S000055,19,Male,CSE,1,6.54,71.8,No,8.5,High School,2-5L,Not Placed,No,5.6,5.2,57,0,Hybrid,0,Yes,Private,1
S000056,21,Female,Civil,3,8.75,83.6,No,17.0,High School,5-10L,Not Placed,No,6.9,8.9,72,0,Online,0,No,Public,1
S000057,19,Female,ECE,2,6.76,96.7,No,6.0,Graduate,<2L,Not Placed,Yes,2.6,8.5,58,0,Offline,0,Yes,Public,0
S000058,24,Male,IT,3,6.91,95.7,No,7.6,Graduate,2-5L,Not Placed,No,9.9,4.2,57,0,Hybrid,0,Yes,Private,0
S000059,20,Female,AEIE,3,6.75,82.3,No,15.2,High School,2-5L,Not Placed,No,8.9,9.7,56,1,Offline,1,Yes,Private,0
S000060,20,Male,AEIE,1,5.32,77.5,No,7.6,Graduate,5-10L,Not Placed,Yes,4.6,5.9,84,2,Hybrid,0,Yes,Public,1
S000061,21,Male,AEIE,1,7.04,76.9,No,0.9,High School,2-5L,Not Placed,Yes,2.1,7.2,39,0,Offline,0,Yes,Boarding,0
S000062,20,Male,IT,1,6.5,94.1,No,13.5,Postgraduate,10-20L,Not Placed,No,3.5,7.9,67,0,Offline,2,Yes,Private,0
S000063,18,Female,ECE,3,7.54,88.0,No,4.0,Postgraduate,<2L,Not Placed,Yes,8.2,7.9,65,2,Hybrid,0,Yes,Private,1
S000064,21,Female,ECE,2,6.44,95.5,No,1.6,High School,<2L,Not Placed,No,2.6,5.5,90,0,Hybrid,0,Yes,Public,0
S000065,17,Male,CE,2,5.83,90.2,No,13.9,Graduate,2-5L,Not Placed,No,5.8,7.2,46,0,Offline,0,Yes,Private,0
S000066,19,Female,CE,3,8.03,64.3,No,2.0,High School,<2L,Not Placed,Yes,2.0,9.8,70,0,Offline,0,No,Private,0
S000067,19,Female,ME,1,7.05,77.5,No,30.5,Postgraduate,2-5L,Not Placed,No,5.9,6.8,45,0,Online,2,No,Public,0
S000068,20,Male,CSE,3,7.02,84.5,Yes,8.4,Graduate,2-5L,Not Placed,No,5.2,6.7,96,1,Online,0,Yes,Private,0
S000069,20,Male,AEIE,4,7.02,88.1,No,5.1,Graduate,2-5L,Placed,No,8.2,6.7,58,1,Offline,1,Yes,Public,1
S000070,20,Male,EEE,3,7.09,97.3,Yes,13.6,High School,5-10L,Not Placed,No,5.7,6.6,54,1,Online,2,Yes,Public,0
S000071,20,Female,IT,1,7.62,83.1,No,1.1,Graduate,2-5L,Not Placed,Yes,4.9,5.7,52,0,Offline,0,No,Public,0
S000072,17,Female,EEE,4,7.65,80.0,No,8.8,High School,10-20L,Partially Placed,No,5.3,5.9,78,0,Offline,0,Yes,Public,0
S000073,21,Male,EEE,2,7.53,69.8,No,11.0,Postgraduate,2-5L,Partially Placed,No,3.7,7.2,77,0,Offline,1,Yes,Boarding,0
S000074,14,Male,AEIE,3,7.73,67.2,No,5.9,High School,>20L,Not Placed,No,8.8,5.8,63,1,Offline,2,Yes,Private,0
S000075,18,Female,EEE,3,7.13,83.8,No,13.7,High School,2-5L,Partially Placed,Yes,5.0,5.1,70,1,Online,0,No,Private,1
S000076,22,Male,Civil,2,7.25,70.3,No,3.9,High School,5-10L,Not Placed,No,5.4,5.2,38,3,Offline,1,Yes,Private,1
S000077,19,Female,ECE,2,7.89,64.9,No,5.2,Graduate,10-20L,Not Placed,No,4.2,6.5,80,0,Offline,0,Yes,Private,0
S000078,20,Female,ME,3,6.94,75.6,Yes,19.9,High School,<2L,Not Placed,No,7.1,8.4,55,1,Offline,0,Yes,Private,0
S000079,19,Female,IT,1,7.03,64.9,No,7.3,Postgraduate,2-5L,Not Placed,Yes,3.7,6.7,75,0,Offline,0,No,Private,0
S000080,16,Male,IT,2,7.39,82.7,No,6.3,Postgraduate,2-5L,Not Placed,No,6.1,7.7,80,0,Offline,2,Yes,Public,0
S000081,19,Male,Civil,2,7.62,94.8,No,3.0,Graduate,<2L,Not Placed,Yes,7.7,6.9,52,0,Hybrid,2,Yes,Junior College,0
S000082,19,Male,IT,3,6.34,84.4,No,10.8,No formal,5-10L,Placed,No,8.7,4.5,49,0,Offline,2,Yes,Private,0
S000083,17,Male,Civil,1,8.17,70.8,No,3.8,Postgraduate,2-5L,Not Placed,Yes,7.1,4.8,68,0,Online,0,Yes,Private,1
S000084,19,Female,CE,4,8.21,86.8,No,3.4,High School,2-5L,Placed,Yes,5.1,9.4,76,2,Offline,1,Yes,Public,0
S000085,21,Male,CSE,3,5.75,87.2,No,24.8,Graduate,10-20L,Not Placed,Yes,4.6,7.6,52,0,Offline,2,Yes,Junior College,0
S000086,16,Female,CE,4,7.73,69.0,No,15.7,Professional,<2L,Placed,No,8.2,5.6,57,1,Offline,1,No,Public,0
S000087,16,Male,AEIE,1,7.71,78.5,No,24.9,Postgraduate,2-5L,Not Placed,No,5.3,10.0,57,0,Offline,2,Yes,Private,0
S000088,20,Male,EEE,3,6.49,80.6,No,5.0,Graduate,2-5L,Not Placed,No,5.8,4.8,62,2,Offline,0,Yes,Private,1
S000089,22,Male,Civil,4,7.5,58.7,No,7.6,Graduate,5-10L,Not Placed,Yes,6.3,5.7,60,1,Online,1,Yes,Public,1
S000090,18,Male,ME,1,7.83,80.1,No,9.1,High School,5-10L,Not Placed,No,2.3,5.7,82,1,Offline,2,No,Junior College,0
S000091,19,Female,CE,4,7.04,90.0,No,1.7,Postgraduate,<2L,Not Placed,No,5.5,7.5,69,0,Hybrid,2,Yes,Public,1
S000092,19,Female,ECE,1,6.36,81.0,No,9.7,Graduate,2-5L,Not Placed,No,8.4,3.0,55,0,Hybrid,0,Yes,Private,0
S000093,19,Male,CSE,3,7.01,84.5,No,4.1,Graduate,5-10L,Not Placed,No,4.4,7.3,53,2,Offline,0,No,Public,0
S000094,20,Male,CSE,2,7.56,81.8,No,15.2,Graduate,2-5L,Not Placed,No,7.0,5.1,68,0,Offline,1,Yes,Other,0
S000095,19,Female,ECE,4,7.38,83.9,No,1.0,Postgraduate,5-10L,Not Placed,No,7.7,10.0,72,1,Offline,0,Yes,Public,1
S000096,23,Male,CE,2,5.86,87.8,No,17.5,Postgraduate,<2L,Not Placed,Yes,9.3,6.7,75,0,Hybrid,1,Yes,Junior College,0
S000097,20,Male,CE,4,9.6,68.8,No,6.9,High School,<2L,Partially Placed,No,6.8,8.9,63,0,Online,1,Yes,Private,0
S000098,20,Male,EEE,1,6.41,61.8,No,5.8,High School,2-5L,Not Placed,Yes,1.0,6.1,63,0,Offline,0,Yes,Public,0
S000099,20,Male,EEE,2,9.33,74.2,No,16.5,Graduate,10-20L,Not Placed,Yes,4.9,6.8,81,0,Offline,2,Yes,Private,0
S000100,19,Female,CE,4,7.57,73.9,No,5.3,Graduate,2-5L,Placed,No,3.5,6.8,67,0,Offline,2,Yes,Private,1
S000101,21,Female,CE,1,7.19,88.3,No,15.6,Postgraduate,>20L,Not Placed,No,0.1,8.9,63,2,Offline,1,Yes,Junior College,0
S000102,18,Male,CSE,2,6.94,94.3,No,10.9,Postgraduate,2-5L,Not Placed,No,6.1,8.7,44,1,Offline,0,Yes,Public,0
S000103,18,Male,CE,2,6.81,84.4,Yes,21.3,Postgraduate,2-5L,Not Placed,No,3.4,6.8,51,0,Offline,1,Yes,Public,0
S000104,20,Male,ECE,4,8.01,76.7,No,7.4,High School,2-5L,Placed,No,2.2,9.5,71,1,Offline,0,Yes,Public,0
S000105,17,Male,Civil,4,8.05,83.2,No,4.4,Postgraduate,5-10L,Placed,No,5.1,9.3,59,1,Hybrid,0,Yes,Private,0
S000106,20,Male,EEE,1,6.71,77.8,No,14.2,Professional,<2L,Not Placed,No,4.7,8.2,63,0,Offline,0,Yes,Private,0
S000107,16,Male,ME,4,9.96,58.0,No,9.1,Graduate,5-10L,Not Placed,No,2.5,8.5,64,0,Offline,1,No,Private,0
S000108,18,Male,ME,3,6.97,72.5,No,1.7,High School,>20L,Placed,No,7.4,8.3,71,0,Offline,2,Yes,Private,0
S000109,21,Female,ECE,1,7.57,90.4,No,1.0,Graduate,<2L,Not Placed,No,7.9,9.4,58,1,Offline,0,No,Private,1
S000110,20,Female,ME,4,7.33,87.0,No,5.4,High School,2-5L,Partially Placed,No,1.1,9.2,50,0,Hybrid,0,Yes,Private,0
S000111,20,Male,CE,1,6.61,64.2,No,2.2,High School,10-20L,Not Placed,No,6.7,7.7,55,0,Offline,2,No,Private,0
S000112,17,Male,CE,3,6.77,77.0,No,15.3,High School,5-10L,Not Placed,No,4.4,6.4,73,1,Online,0,Yes,Private,0
S000113,21,Female,CE,1,7.99,79.0,No,9.6,Graduate,2-5L,Partially Placed,Yes,0.2,6.4,67,0,Online,1,No,Public,0
S000114,21,Male,ECE,1,6.7,96.0,No,14.7,Graduate,2-5L,Not Placed,No,3.1,5.0,77,1,Online,0,No,Public,0
S000115,17,Female,EEE,1,7.1,76.8,Yes,8.8,Graduate,2-5L,Not Placed,Yes,6.9,7.0,63,1,Offline,0,Yes,Junior College,0
S000116,19,Male,AEIE,4,7.17,74.3,Yes,17.8,Graduate,2-5L,Not Placed,Yes,3.9,8.6,49,2,Hybrid,2,Yes,Public,1
S000117,18,Male,AEIE,1,6.36,83.5,No,25.7,High School,2-5L,Not Placed,No,8.7,6.9,71,1,Hybrid,0,Yes,Other,0
S000118,18,Female,AEIE,3,6.65,67.4,No,5.4,Postgraduate,5-10L,Not Placed,Yes,1.5,5.1,62,1,Offline,0,Yes,Public,0
S000119,19,Male,IT,2,8.25,90.9,No,9.8,Postgraduate,5-10L,Not Placed,No,0.3,7.6,59,1,Offline,1,Yes,Private,0
S000120,20,Male,EEE,3,7.64,80.2,No,7.2,Graduate,<2L,Not Placed,No,2.8,7.2,52,1,Offline,0,Yes,Junior College,0
S000121,18,Male,ECE,3,7.78,73.9,No,15.6,Graduate,10-20L,Placed,No,5.5,7.8,32,1,Offline,0,Yes,Public,0
S000122,23,Other,IT,3,8.4,67.6,No,8.1,High School,<2L,Placed,Yes,3.4,6.1,77,1,Offline,1,No,Public,0
S000123,19,Female,ECE,4,8.19,65.8,No,10.1,High School,2-5L,Placed,No,2.4,5.5,67,0,Hybrid,0,No,Private,0
S000124,21,Female,ECE,4,6.03,83.2,No,14.9,High School,>20L,Placed,No,0.0,5.4,53,0,Online,1,Yes,Private,0
S000125,17,Male,CSE,2,6.61,73.8,No,4.2,Professional,2-5L,Not Placed,No,2.9,6.8,48,1,Offline,0,Yes,Private,0
S000126,17,Male,Civil,2,7.93,88.0,Yes,28.0,High School,10-20L,Not Placed,No,10.0,6.1,89,2,Hybrid,0,No,Public,0
S000127,20,Female,AEIE,2,7.77,61.2,No,12.9,Graduate,2-5L,Not Placed,Yes,4.6,7.1,73,1,Offline,0,No,Private,0
S000128,21,Male,IT,3,7.11,82.7,No,13.5,High School,10-20L,Not Placed,No,7.9,7.9,60,1,Offline,1,No,Junior College,1
S000129,19,Male,EEE,2,7.26,76.3,No,4.8,Graduate,10-20L,Not Placed,Yes,4.0,6.2,80,0,Offline,0,No,Private,0
S000130,18,Male,AEIE,2,6.82,82.6,No,2.9,Professional,<2L,Not Placed,Yes,1.8,9.0,57,1,Offline,0,Yes,Public,0
S000131,18,Female,EEE,1,6.2,63.1,No,11.4,High School,2-5L,Not Placed,No,5.8,5.0,79,0,Offline,0,Yes,Private,0
S000132,21,Male,ECE,4,7.89,83.4,No,24.6,Graduate,2-5L,Placed,No,7.1,6.5,48,1,Hybrid,0,Yes,Other,1
S000133,19,Male,ME,1,6.86,78.5,No,11.0,Graduate,2-5L,Partially Placed,Yes,9.8,7.3,53,1,Offline,1,Yes,Public,1
S000134,20,Female,ME,2,7.7,94.9,No,12.1,Postgraduate,10-20L,Not Placed,Yes,6.5,8.9,75,1,Offline,0,No,Private,0
S000135,18,Female,CSE,1,5.9,70.8,No,21.6,Graduate,5-10L,Not Placed,No,6.3,5.6,61,1,Offline,1,Yes,Public,1
S000136,15,Male,ME,2,6.14,88.1,No,13.4,Postgraduate,5-10L,Not Placed,Yes,3.2,5.0,49,0,Offline,0,Yes,Public,0
S000137,18,Female,Civil,4,8.25,66.1,No,22.5,High School,2-5L,Partially Placed,Yes,4.5,8.7,86,1,Offline,0,Yes,Public,0
S000138,20,Male,Civil,3,6.97,77.0,No,9.1,High School,<2L,Placed,Yes,9.3,6.4,70,0,Offline,0,Yes,Private,0
S000139,19,Male,AEIE,3,6.83,82.6,No,8.4,Postgraduate,10-20L,Not Placed,No,3.8,7.8,70,0,Offline,2,No,Public,0
S000140,17,Male,IT,2,7.04,81.8,No,5.0,Postgraduate,<2L,Not Placed,No,5.4,8.9,77,0,Offline,1,No,Private,0
S000141,16,Female,EEE,3,7.15,76.4,No,20.2,No formal,2-5L,Not Placed,Yes,3.5,5.7,65,0,Online,1,No,Private,0
S000142,19,Other,CE,4,5.95,86.2,No,4.5,High School,2-5L,Not Placed,No,2.3,9.1,73,0,Offline,1,Yes,Private,0
S000143,18,Female,ECE,3,7.37,58.3,No,11.0,Postgraduate,<2L,Not Placed,No,9.0,5.0,52,0,Offline,1,No,Junior College,0
S000144,17,Female,CE,2,6.36,89.3,No,2.9,High School,2-5L,Not Placed,No,3.8,5.1,81,1,Online,0,Yes,Public,0
S000145,17,Male,CE,2,8.03,89.0,No,4.9,High School,5-10L,Not Placed,No,7.1,7.9,63,0,Offline,0,No,Private,0
S000146,19,Female,Civil,2,7.69,77.1,No,11.4,High School,2-5L,Not Placed,Yes,6.2,7.8,74,2,Offline,0,Yes,Public,0
S000147,20,Male,Civil,2,8.3,82.4,No,12.8,High School,2-5L,Placed,No,1.6,4.2,60,1,Online,0,Yes,Private,0
S000148,19,Male,ECE,2,5.97,81.4,No,14.3,Graduate,<2L,Not Placed,No,7.4,4.9,79,1,Offline,1,Yes,Public,1
S000149,21,Male,CE,1,8.35,61.8,No,30.4,High School,5-10L,Placed,Yes,1.1,3.1,76,2,Offline,1,Yes,Private,1
S000150,20,Male,CE,1,6.35,73.5,No,3.3,Postgraduate,10-20L,Not Placed,No,6.9,7.8,55,1,Hybrid,2,No,Public,0
S000151,20,Female,ME,3,7.55,76.0,No,21.7,Graduate,<2L,Not Placed,Yes,8.2,2.7,61,1,Offline,1,Yes,Public,0
S000152,19,Male,CE,1,7.7,71.2,No,7.7,High School,2-5L,Not Placed,Yes,3.6,6.7,99,0,Online,0,Yes,Public,0
S000153,21,Male,Civil,2,6.71,74.6,No,2.9,Professional,5-10L,Not Placed,Yes,5.9,4.9,64,0,Online,1,Yes,Public,0
S000154,19,Male,AEIE,2,6.76,83.4,No,27.0,Graduate,2-5L,Not Placed,No,9.1,9.0,50,0,Offline,0,Yes,Public,0
S000155,19,Female,Civil,3,7.97,92.5,No,2.4,Professional,10-20L,Not Placed,No,1.4,8.1,69,0,Offline,1,Yes,Public,0
S000156,17,Male,CE,2,6.58,77.4,No,1.4,High School,10-20L,Not Placed,No,4.0,5.6,69,0,Offline,2,Yes,Private,0
S000157,20,Female,CSE,2,5.45,75.7,No,11.1,High School,10-20L,Not Placed,No,6.9,7.8,52,0,Online,1,No,Private,0
S000158,18,Male,ME,4,7.71,75.5,No,14.9,Postgraduate,2-5L,Placed,Yes,9.6,7.2,82,1,Offline,0,No,Private,0
S000159,21,Female,EEE,2,5.98,93.8,No,24.6,High School,10-20L,Not Placed,No,6.5,9.7,52,1,Offline,0,No,Public,0
S000160,17,Male,CE,1,7.51,73.1,Yes,3.0,Professional,2-5L,Not Placed,Yes,6.2,9.7,62,1,Offline,3,Yes,Public,0
S000161,17,Female,CE,4,6.21,69.6,Yes,2.6,Graduate,5-10L,Partially Placed,No,6.0,7.4,61,0,Online,1,No,Private,0
S000162,18,Male,EEE,4,8.46,71.5,No,27.1,Postgraduate,2-5L,Placed,Yes,7.3,7.7,75,0,Offline,0,Yes,Other,0
S000163,20,Female,CE,3,6.76,76.4,No,12.8,Postgraduate,5-10L,Not Placed,Yes,8.5,6.2,57,0,Offline,0,Yes,Other,0
S000164,19,Male,ECE,2,7.49,84.3,No,4.9,Postgraduate,2-5L,Not Placed,Yes,2.4,4.2,32,1,Offline,2,Yes,Public,0
S000165,20,Male,IT,2,8.72,87.6,No,4.4,High School,10-20L,Not Placed,Yes,5.7,4.0,82,0,Online,1,Yes,Public,0
S000166,22,Female,ME,2,8.54,71.4,No,6.3,High School,<2L,Not Placed,Yes,4.0,4.7,66,1,Offline,0,No,Boarding,1
S000167,20,Female,ME,1,7.55,72.8,No,7.1,High School,2-5L,Not Placed,No,4.6,6.0,66,0,Offline,0,Yes,Junior College,0
S000168,22,Female,AEIE,2,7.07,84.2,No,21.1,Postgraduate,10-20L,Not Placed,No,2.9,6.7,61,1,Offline,1,Yes,Public,0
S000169,16,Male,IT,3,8.31,93.9,No,5.3,Graduate,2-5L,Not Placed,Yes,4.5,5.3,68,2,Offline,0,Yes,Public,0
S000170,19,Male,Civil,3,7.01,79.2,No,7.1,Graduate,2-5L,Partially Placed,No,5.4,8.3,52,0,Hybrid,0,Yes,Public,0
S000171,20,Male,Civil,2,7.53,65.6,No,16.6,High School,5-10L,Not Placed,No,5.2,9.4,72,0,Offline,0,No,Private,0
S000172,22,Male,ECE,2,6.84,81.6,Yes,23.7,High School,2-5L,Not Placed,No,3.6,6.1,71,0,Offline,0,Yes,Private,0
S000173,19,Male,EEE,3,8.25,82.5,Yes,21.5,High School,2-5L,Not Placed,No,4.7,9.2,94,1,Online,0,Yes,Public,1
S000174,18,Male,AEIE,1,6.24,68.2,No,13.9,High School,<2L,Partially Placed,No,4.6,5.7,73,1,Online,1,Yes,Public,0
S000175,21,Male,IT,3,6.47,67.5,No,15.7,High School,<2L,Not Placed,Yes,2.0,9.5,77,1,Online,1,Yes,Private,0
S000176,20,Male,AEIE,4,8.75,99.5,No,8.7,Postgraduate,2-5L,Placed,No,7.8,7.4,47,2,Online,2,Yes,Public,1
S000177,21,Male,AEIE,1,8.15,81.3,No,10.9,High School,<2L,Not Placed,No,5.3,1.3,76,1,Offline,1,Yes,Private,1
S000178,19,Male,Civil,4,7.51,85.5,No,9.0,High School,2-5L,Not Placed,Yes,3.6,6.5,59,0,Offline,1,Yes,Junior College,0
S000179,21,Male,AEIE,2,7.42,91.5,No,7.7,Graduate,2-5L,Not Placed,No,5.9,5.0,75,0,Hybrid,0,No,Private,0
S000180,19,Male,AEIE,3,7.01,84.2,No,33.5,Graduate,<2L,Not Placed,Yes,4.1,8.7,92,0,Online,1,Yes,Private,0
S000181,21,Female,Civil,3,6.06,73.0,No,19.6,Graduate,5-10L,Not Placed,No,4.4,8.2,63,2,Offline,1,Yes,Private,0
S000182,20,Female,IT,2,6.15,80.2,No,3.5,High School,10-20L,Not Placed,No,1.8,5.5,85,1,Hybrid,3,Yes,Private,0
S000183,17,Male,IT,3,6.48,81.1,No,3.8,High School,<2L,Not Placed,Yes,4.8,6.0,66,1,Offline,0,No,Private,0
S000184,17,Male,IT,1,7.96,78.2,Yes,30.7,Postgraduate,5-10L,Not Placed,No,4.6,7.1,37,0,Hybrid,1,No,Boarding,1
S000185,19,Male,AEIE,3,7.98,77.8,No,5.4,Postgraduate,10-20L,Not Placed,Yes,2.5,6.4,68,0,Offline,1,Yes,Public,0
S000186,17,Female,AEIE,3,7.76,67.2,No,22.0,Graduate,<2L,Not Placed,Yes,6.7,4.9,64,0,Offline,0,Yes,Public,0
